,movie_id,movie_title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,total_seasons,overall_rating
4231,ts32770,Khloé & Lamar,SHOW,"Khloé & Lamar is an American reality television series that debuted on E! in the United States and Canada on April 10, 2011. The series is the third spin-off of the show Keeping Up with the Kardashians and features reality star Khloé Kardashian Odom and her husband, basketball player Lamar Odom. The series returned for its second season on February 19, 2012.",2011,TV-14,22,"['reality', 'romance', 'drama', 'family']",['US'],2.0,tt1821877,3.1,2030.0,2.596,7.2,2,5.15
4233,ts20608,Love & Hip Hop New York,SHOW,"When people think of the hip hop life, they think of the players - the men who shape the music and the blinged-out lifestyle that comes with success. The fact is the hip hop life is different for the women involved: the spouses, girlfriends or artists trying to define themselves in a world where men are still calling the shots.",2011,TV-14,42,['reality'],['US'],10.0,tt8050738,4.3,177.0,8.368,7.3,10,5.8
4262,ts27880,Pramface,SHOW,"Pramface is a BBC Three television comedy series starring Scarlett Alice Johnson, Sean Michael Verey, Ben Crompton, Bronagh Gallagher, Anna Chancellor and Angus Deayton. Written by Chris Reddy and produced by BBC/Little Comet, the six-part first series commenced transmission on 23 February 2012. The second series began on 8 January 2013, with the first episode 60 minutes long, as a special, and the remainder of the series consisted of the usual 30 minute episodes. The second series concluded on 19 February 2013. A third series was confirmed on 29 April 2013.",2012,TV-14,31,"['comedy', 'european']",['GB'],3.0,tt2239949,7.5,2527.0,6.624,7.4,3,7.45
4277,ts191698,Little Baby Bum,SHOW,"Little Baby Bum is a fun and educational show for kids featuring classic and new nursery rhymes. With her friends and family, 6 year old Mia experiences the world around her through song and sometimes a bit of magic, too.",2011,TV-Y,5,"['animation', 'family', 'music']",['GB'],4.0,tt10051854,6.4,94.0,2.728,10.0,4,8.2
4289,ts42942,Nazi Underworld,SHOW,Adolf Hitler pretended to be poor but amassed a huge private fortune. The Führer may have believed he was Jewish. Rigorously fact-checked revelations throw a genuine new light on the Nazi regime.,2011,TV-14,47,"['documentation', 'history', 'war', 'european']",['DE'],2.0,tt2098173,7.1,81.0,1.791,5.7,2,6.4
4298,ts10585,Brave 10,SHOW,"Brave 10 is a manga series by Kairi Shimotsuki, serialized in Media Factory's Comic Flapper from 2007 to 2010. The series was resumed on June 15, 2011 and retitled Brave 10 Spiral, better known as Brave 10 S, serialized in Monthly Comic Gene. An anime adaptation by Studio Sakimakura and TMS Entertainment began airing on January 8, 2012. The original manga series is licensed by Tokyopop, though no volumes have been released as of 2012. The series is based on the legendary Sanada Ten Braves, a group of ninja that assisted warlord Sanada Yukimura during the Sengoku period of Japan. The series had been licensed for streaming on Crunchyroll.",2012,TV-14,23,"['action', 'comedy', 'animation']",['JP'],1.0,tt2176249,6.5,387.0,6.649,7.9,1,7.2
4317,ts33546,Scaredy Squirrel,SHOW,Scaredy Squirrel is a Canadian animated television series created by Mélanie Watt.,2011,TV-G,13,"['comedy', 'family', 'thriller', 'animation']",['CA'],4.0,tt2059031,4.4,475.0,4.01,5.3,4,4.85
4321,ts34081,Mike the Knight,SHOW,"Mike the Knight is a Canadian/British animated television series created by Alexander Bar and written by Marc Seal. It currently airs on Treehouse TV in Canada, Nickelodeon and Nick Jr. in the United States and CBeebies in the United Kingdom.",2011,TV-Y,17,"['action', 'animation', 'family']",['CA'],4.0,tt2378754,4.9,218.0,9.064,6.5,4,5.7
4337,ts44787,Bananas in Pyjamas,SHOW,"The Bananas explore their town of Cuddlestown with their best friends Rat In A Hat and teddies - Lulu, Morgan and Amy.",2011,TV-Y,14,"['animation', 'family']",['AU'],2.0,tt1829088,4.3,168.0,7.235,6.0,2,5.15
4338,ts36491,World's Most Dangerous Roads,SHOW,"Celebrities drive on some of the most dangerous roads around the world, tackling impossible conditions to reach their goals.",2011,TV-PG,59,"['reality', 'documentation', 'european']",['GB'],3.0,tt2078521,7.4,214.0,3.417,7.0,3,7.2
4345,ts7652,Detentionaire,SHOW,"No student likes having to spend time in detention so you can only imagine how Lee Ping feels. The freshman at A Nigma High has been sentenced to a year in detention after being accused of pulling off the biggest prank in high-school history. The problem is that Lee is innocent. Now, in order to clear his name, Lee must escape from the highly fortified detention room every day, infiltrate a new social clique, and unravel another piece of the gigantic prank puzzle to try to figure out who actually pulled off the epic stunt.",2011,TV-Y7,22,"['action', 'scifi', 'comedy', 'drama', 'thriller', 'family', 'romance', 'animation']",['CA'],4.0,tt2130507,8.2,377.0,2.943,9.0,4,8.6
4354,ts6408,Crash Canyon,SHOW,"Crash Canyon is a Canadian animated series. It tells the story of the community living at the bottom of a canyon. The Wendell family is looking for an original holiday by caravan but their trip ends sooner than expected at the bottom of a canyon in Alberta, Canada. Canyon walls are too high to climb and there is no way out. Soon they find out there is a whole community of 25 survivors from previous crashes down there. Dollars are not accepted and they use golf tees as a currency.",2011,TV-14,23,"['comedy', 'drama', 'animation']",['CA'],2.0,tt1885560,4.3,759.0,2.936,3.0,2,3.65
